temp,pressure,energy-Structure-1,energy-Structure-2,energy-Structure-0,e_min,stable_struct
0.0,75,-5.8515130995,-6.41790677825,-6.436354919375,-6.436354919375,Structure-0
10.0,75,-5.851513126,-6.41790677975,-6.4363549205,-6.4363549205,Structure-0
20.0,75,-5.85151364125,-6.417906811,-6.436354941125,-6.436354941125,Structure-0
30.0,75,-5.851515793000001,-6.41790695075,-6.43635503325,-6.43635503325,Structure-0
40.0,75,-5.851520949,-6.417907331,-6.43635528425,-6.43635528425,Structure-0
50.0,75,-5.851530499750001,-6.41790814025,-6.43635582025,-6.43635582025,Structure-0
60.0,75,-5.85154584525,-6.41790962875,-6.436356811125,-6.436356811125,Structure-0
70.0,75,-5.851568411750001,-6.4179121165,-6.436358478625,-6.436358478625,Structure-0
80.0,75,-5.851599661750001,-6.41791600475,-6.436361108875,-6.436361108875,Structure-0
90.0,75,-5.85164109075,-6.417921788,-6.43636506675,-6.43636506675,Structure-0
100.0,75,-5.851694209750001,-6.4179300605,-6.436370806125,-6.436370806125,Structure-0
110.0,75,-5.8517605255000005,-6.41794151775,-6.4363788755,-6.4363788755,Structure-0
120.0,75,-5.8518415177500005,-6.417956948750001,-6.436389915625,-6.436389915625,Structure-0
130.0,75,-5.851938618,-6.417977224,-6.436404651625,-6.436404651625,Structure-0
140.0,75,-5.852053193750001,-6.41800328125,-6.4364238815,-6.4364238815,Structure-0
150.0,75,-5.8521865345,-6.41803610975,-6.4364484625,-6.4364484625,Structure-0
160.0,75,-5.8523398435,-6.418076736,-6.43647929825,-6.43647929825,Structure-0
170.0,75,-5.852514232500001,-6.41812621125,-6.436517325875,-6.436517325875,Structure-0
180.0,75,-5.852710721,-6.41818559975,-6.436563505125,-6.436563505125,Structure-0
190.0,75,-5.852930237250001,-6.41825597,-6.436618808125,-6.436618808125,Structure-0
200.0,75,-5.853173620500001,-6.41833838525,-6.436684211375,-6.436684211375,Structure-0
210.0,75,-5.8534416277500005,-6.418433896,-6.436760687875,-6.436760687875,Structure-0
220.0,75,-5.8537349372500005,-6.4185435345,-6.43684920075,-6.43684920075,Structure-0
230.0,75,-5.85405415675,-6.41866830875,-6.436950697375,-6.436950697375,Structure-0
240.0,75,-5.854399827000001,-6.4188091965,-6.43706610475,-6.43706610475,Structure-0
250.0,75,-5.854772429750001,-6.4189671425000006,-6.437196324875,-6.437196324875,Structure-0
260.0,75,-5.8551723925,-6.419143054,-6.437342231,-6.437342231,Structure-0
270.0,75,-5.8556000925000005,-6.419337798,-6.437504664625,-6.437504664625,Structure-0
280.0,75,-5.85605586375,-6.41955219875,-6.437684433125,-6.437684433125,Structure-0
290.0,75,-5.856539998750001,-6.41978703675,-6.437882307375,-6.437882307375,Structure-0
300.0,75,-5.8570527532500005,-6.42004304725,-6.43809902025,-6.43809902025,Structure-0
310.0,75,-5.85759435,-6.42032091975,-6.43833526575,-6.43833526575,Structure-0
320.0,75,-5.858164979750001,-6.42062129775,-6.438591698375,-6.438591698375,Structure-0
330.0,75,-5.858764806250001,-6.42094477875,-6.4388689325,-6.4388689325,Structure-0
340.0,75,-5.859393966750001,-6.42129191625,-6.439167542875,-6.439167542875,Structure-0
350.0,75,-5.86005257425,-6.42166321875,-6.439488064625,-6.439488064625,Structure-0
360.0,75,-5.860740719500001,-6.42205915225,-6.439830994375,-6.439830994375,Structure-0
370.0,75,-5.861458473000001,-6.422480142,-6.440196790625,-6.440196790625,Structure-0
380.0,75,-5.862205885500001,-6.422926572,-6.440585875,-6.440585875,Structure-0
390.0,75,-5.862982990500001,-6.4233987895,-6.440998633375,-6.440998633375,Structure-0
400.0,75,-5.8637898037500005,-6.423897104,-6.4414354175,-6.4414354175,Structure-0
410.0,75,-5.864626326500001,-6.42442179075,-6.441896545625,-6.441896545625,Structure-0
420.0,75,-5.8654925445,-6.42497309225,-6.442382304625,-6.442382304625,Structure-0
430.0,75,-5.866388430750001,-6.4255512195,-6.442892951125,-6.442892951125,Structure-0
440.0,75,-5.8673139445,-6.42615635425,-6.443428713125,-6.443428713125,Structure-0
450.0,75,-5.868269034000001,-6.4267886505,-6.443989791375,-6.443989791375,Structure-0
460.0,75,-5.869253636000001,-6.427448237,-6.444576360875,-6.444576360875,Structure-0
470.0,75,-5.870267677,-6.428135217,-6.445188572375,-6.445188572375,Structure-0
480.0,75,-5.87131107425,-6.4288496725,-6.44582655375,-6.44582655375,Structure-0
490.0,75,-5.872383735250001,-6.42959166325,-6.44649041125,-6.44649041125,Structure-0
500.0,75,-5.873485560250001,-6.43036122975,-6.44718023125,-6.44718023125,Structure-0
510.0,75,-5.874616441250001,-6.4311583945,-6.44789608075,-6.44789608075,Structure-0
520.0,75,-5.8757762630000006,-6.4319831625,-6.448638009625,-6.448638009625,Structure-0
530.0,75,-5.8769649045,-6.4328355232500005,-6.44940605075,-6.44940605075,Structure-0
540.0,75,-5.878182237500001,-6.433715452,-6.450200222,-6.450200222,Structure-0
550.0,75,-5.87942812975,-6.4346229105,-6.45102052675,-6.45102052675,Structure-0
560.0,75,-5.8807024427500005,-6.43555784775,-6.45186695525,-6.45186695525,Structure-0
570.0,75,-5.8820050340000005,-6.4365202022500005,-6.452739485125,-6.452739485125,Structure-0
580.0,75,-5.8833357565,-6.437509901,-6.45363808275,-6.45363808275,Structure-0
590.0,75,-5.88469446,-6.438526862,-6.454562704,-6.454562704,Structure-0
600.0,75,-5.88608099025,-6.439570995,-6.45551329475,-6.45551329475,Structure-0
610.0,75,-5.88749519025,-6.440642201,-6.456489792125,-6.456489792125,Structure-0
620.0,75,-5.8889369,-6.44174037375,-6.45749212475,-6.45749212475,Structure-0
630.0,75,-5.8904059577500005,-6.442865401,-6.45852021375,-6.45852021375,Structure-0
640.0,75,-5.89190219875,-6.444017164,-6.459573973125,-6.459573973125,Structure-0
650.0,75,-5.893425457,-6.44519553875,-6.460653310375,-6.460653310375,Structure-0
660.0,75,-5.894975565,-6.4464003962500005,-6.461758127375,-6.461758127375,Structure-0
670.0,75,-5.896552353250001,-6.4476316032500005,-6.462888320625,-6.462888320625,Structure-0
680.0,75,-5.898155651500001,-6.44888902225,-6.464043781375,-6.464043781375,Structure-0
690.0,75,-5.89978528875,-6.45017251275,-6.465224397,-6.465224397,Structure-0
700.0,75,-5.901441093250001,-6.451481931,-6.466430050375,-6.466430050375,Structure-0
710.0,75,-5.903122892500001,-6.45281713,-6.467660621,-6.467660621,Structure-0
720.0,75,-5.90483051375,-6.454177961,-6.468915985125,-6.468915985125,Structure-0
730.0,75,-5.90656378375,-6.45556427275,-6.470196016,-6.470196016,Structure-0
740.0,75,-5.90832252975,-6.4569759125,-6.4715005845,-6.4715005845,Structure-0
750.0,75,-5.910106578750001,-6.458412725500001,-6.472829558625,-6.472829558625,Structure-0
760.0,75,-5.91191575775,-6.4598745565,-6.474182805125,-6.474182805125,Structure-0
770.0,75,-5.91374989425,-6.46136124825,-6.47556018825,-6.47556018825,Structure-0
780.0,75,-5.915608816500001,-6.46287264375,-6.47696157125,-6.47696157125,Structure-0
790.0,75,-5.91749235275,-6.464408584,-6.47838681575,-6.47838681575,Structure-0
800.0,75,-5.91940033225,-6.465968911,-6.47983578225,-6.47983578225,Structure-0
810.0,75,-5.9213325845,-6.4675534655,-6.4813083305,-6.4813083305,Structure-0
820.0,75,-5.92328894025,-6.469162088,-6.48280431925,-6.48280431925,Structure-0
830.0,75,-5.925269231000001,-6.47079462,-6.484323606875,-6.484323606875,Structure-0
840.0,75,-5.92727328875,-6.47245090225,-6.48586605125,-6.48586605125,Structure-0
850.0,75,-5.929300947000001,-6.47413077575,-6.487431509875,-6.487431509875,Structure-0
860.0,75,-5.93135204,-6.4758340822500005,-6.48901984,-6.48901984,Structure-0
870.0,75,-5.933426403,-6.477560664,-6.490630898875,-6.490630898875,Structure-0
880.0,75,-5.93552387275,-6.4793103635,-6.492264544,-6.492264544,Structure-0
890.0,75,-5.9376442865,-6.48108302375,-6.49392063275,-6.49392063275,Structure-0
900.0,75,-5.939787483000001,-6.48287848875,-6.495599022875,-6.495599022875,Structure-0
910.0,75,-5.94195330275,-6.4846966035,-6.49729957225,-6.49729957225,Structure-0
920.0,75,-5.944141586750001,-6.486537213,-6.499022139375,-6.499022139375,Structure-0
930.0,75,-5.946352177750001,-6.488400164,-6.50076658325,-6.50076658325,Structure-0
940.0,75,-5.94858491925,-6.490285304,-6.502532763125,-6.502532763125,Structure-0
950.0,75,-5.9508396565,-6.492192481,-6.504320539125,-6.504320539125,Structure-0
960.0,75,-5.9531162362500005,-6.4941215445000005,-6.506129772,-6.506129772,Structure-0
970.0,75,-5.95541450625,-6.49607234475,-6.507960323125,-6.507960323125,Structure-0
980.0,75,-5.957734315500001,-6.4980447335,-6.5098120545,-6.5098120545,Structure-0
990.0,75,-5.960075514500001,-6.5000385635,-6.51168482925,-6.51168482925,Structure-0
1000.0,75,-5.9624379555,-6.50205368825,-6.513578511,-6.513578511,Structure-0
